21:02:14:03:00:59[INFO ] chunk_repair.pl-90    : ##ENTERING LOAD RULE FUNC

21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R1: NP(({%NN})) JJP(({$a%JJ<root="vaMti",num="$n",pers="$p",cm="vi">})) => NP(({%NN}+{$a%JJ<root="vaMti",lcat="adj",num="$n",per="$p",cm="vi">}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::NP(({%NN})) JJP(({$a%JJ<root="vaMti",num="$n",pers="$p",cm="vi">})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:NP(({%NN})) JJP(({$a%JJ<root="vaMti",num="$n",pers="$p",cm="vi">}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%NN})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%NN
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-NN,Fs-
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--JJP~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$a%JJ<root="vaMti",num="$n",pers="$p",cm="vi">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$a%JJ<root="vaMti",num="$n",pers="$p",cm="vi">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$a,Pos-JJ,Fs-<root="vaMti",num="$n",pers="$p",cm="vi">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 NP 3  4  5 (( 6 {%NN}+{$a%JJ<root="vaMti",lcat="adj",num="$n",per="$p",cm="vi">}))
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-NN,Fs-
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$a,Pos-JJ,Fs-<root="vaMti",lcat="adj",num="$n",per="$p",cm="vi">
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 1,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:JJP~
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R2: NP~1(({$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">})) NP~2(({%NN})) => NP~2((+{$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">}{%NN}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::NP~1(({$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">})) NP~2(({%NN})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:NP~1(({$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">})) NP~2(({%NN}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~1
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$a%NST<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$a,Pos-NST,Fs-<root="maXya",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~2
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%NN})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%NN
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-NN,Fs-
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~2
